gene,logFC,p_value,adj_p_value
HLA-DRB1,2.55,5.15e-34,5.7399999999999995e-30
DCN,2.1,4.65e-34,5.7399999999999995e-30
LOC101060835///LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB1///HLA-DQB1,3.05,1.1400000000000001e-33,8.48e-30
HLA-DPA1,3.02,1.53e-33,8.51e-30
CXCR4,4.4,2.4700000000000002e-33,1.1000000000000001e-29
RGS1,4.73,7e-33,2.6e-29
LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,2.95,9.33e-33,2.97e-29
DKK3,3.09,1.5600000000000002e-32,3.4600000000000003e-29
HLA-DRA,3.33,1.5e-32,3.4600000000000003e-29
IGK///IGKC,3.43,2.14e-32,3.8800000000000003e-29
CYAT1///IGLV1-44///IGLC1,4.09,2.2700000000000003e-32,3.8800000000000003e-29
IGLV1-44,4.2,8.01e-32,1.11e-28
IGLC1,4.32,1.2200000000000001e-31,1.6e-28
CD74,2.95,6.93e-31,7.7199999999999995e-28
LUM,3.94,7.570000000000001e-31,7.9e-28
C7,2.29,8.580000000000001e-31,8.31e-28
HLA-DMA,3.05,1.2099999999999999e-30,1.1300000000000002e-27
LGALS3,3.68,2.35e-30,1.85e-27
IGFBP7,2.38,2.4099999999999998e-30,1.85e-27
MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1,4.74,3.46e-30,2.57e-27
EFEMP1,3.73,1.2200000000000001e-29,8.800000000000001e-27
EPHA3,3.62,3e-29,2.09e-26
DEFB1,3.47,4.27e-29,2.88e-26
RAPGEF5,2.22,4.57e-29,2.99e-26
CD52,2.78,3.71e-28,2.3599999999999997e-25
IGLL3P,3.01,3.8599999999999998e-28,2.39e-25
CYTIP,3.01,6.1e-28,3.67e-25
TACSTD2,3.82,7.7e-28,4.51e-25
IL7R,3.34,9.21e-28,5.26e-25
ASPN,2.51,1.0400000000000002e-27,5.8e-25
IGKC,3.34,1.4500000000000002e-27,7.9e-25
GUSBP11,2.62,1.57e-27,8.31e-25
ITGBL1,3.44,1.8800000000000002e-27,9.72e-25
LOC101926921///DAB2,1.84,3.2400000000000006e-27,1.6099999999999998e-24
MLIP,3.83,3.55e-27,1.68e-24
HLA-DPB1,2.82,3.5e-27,1.68e-24
PDGFRA,2.62,3.69e-27,1.71e-24
AQP1,3.02,3.89e-27,1.7699999999999998e-24
SEL1L3,2.48,4.67e-27,2.08e-24
C6ORF48,1.55,8.130000000000001e-27,3.48e-24
LOC100996809///HLA-DRB4///HLA-DRB1,2.58,9.9e-27,4.16e-24
IFI16,2.33,1.93e-26,7.81e-24
FBLN5,2.8,2.41e-26,9.6e-24
BICC1,2.72,2.7000000000000004e-26,1.06e-23
TRIM22,3.13,3.48e-26,1.34e-23
KCNJ16,3.48,3.82e-26,1.4399999999999997e-23
FGFR2,2.36,4.2e-26,1.56e-23
GPNMB,3.33,6.02e-26,2.2e-23
LOC101060835///HLA-DQB1,3.35,1.1e-25,3.89e-23
ANK3,2.85,1.39e-25,4.8499999999999996e-23
UBD///GABBR1,4.38,1.4199999999999999e-25,4.8599999999999996e-23
PTPRC,2.46,1.86e-25,6.29e-23
TNFRSF21,2.38,2.21e-25,7.339999999999999e-23
TCF4,1.99,2.66e-25,8.699999999999999e-23
RNASET2,1.57,3.9899999999999997e-25,1.29e-22
RBMS1,1.64,4.13e-25,1.31e-22
LOC100509457///HLA-DQA2///HLA-DQA1,3.29,7.42e-25,2.3e-22
GZMK,2.56,8.46e-25,2.55e-22
EPCAM,3.72,9.12e-25,2.71e-22
JCHAIN,3.95,1.0099999999999999e-24,2.94e-22
PTGDS,3.01,1.0199999999999999e-24,2.94e-22
ARL4C,2.77,1.3399999999999999e-24,3.79e-22
CTGF,3.57,1.97e-24,5.41e-22
CECR1,1.97,2.0399999999999997e-24,5.53e-22
EIF4EBP1,-1.24,2.35e-24,6.3e-22
SPINT2,1.98,2.4299999999999997e-24,6.44e-22
CELF2,2.33,2.5399999999999998e-24,6.6500000000000005e-22
PIP4K2A,1.28,2.58e-24,6.680000000000001e-22
RAB15,-1.4,3.38e-24,8.65e-22
AEBP1,1.65,3.7e-24,9.36e-22
VIM,2.37,3.84e-24,9.61e-22
TMSB10,1.57,5.57e-24,1.35e-21
CLSTN1,1.29,7.379999999999999e-24,1.7700000000000003e-21
MGP,3.39,7.59e-24,1.78e-21
EFEMP2,1.14,7.599999999999999e-24,1.78e-21
TUG1,1.11,8.729999999999999e-24,2.0300000000000002e-21
RGS2,2.81,1.1099999999999999e-23,2.5000000000000002e-21
LDHB,1.93,1.32e-23,2.9300000000000004e-21
NCK2,1.63,1.3299999999999998e-23,2.9300000000000004e-21
IGKV1OR2-108,3.32,1.74e-23,3.76e-21
LAMA2,1.9,1.9699999999999998e-23,4.21e-21
IFI27,4.21,3.7999999999999995e-23,7.910000000000001e-21
RGCC,3.6,4.0599999999999995e-23,8.37e-21
COLEC11,1.84,5.7e-23,1.15e-20
PDGFD,2.93,5.669999999999999e-23,1.15e-20
FXYD6-FXYD2///FXYD2,1.88,7.149999999999999e-23,1.44e-20
SH3BGRL,1.75,7.399999999999999e-23,1.47e-20
ANXA4,1.68,9.65e-23,1.89e-20
KLF6,2.13,1.13e-22,2.16e-20
TRBC1,2.12,1.65e-22,3.12e-20
ADGRE5,1.57,1.89e-22,3.53e-20
CCL19,3.78,1.94e-22,3.61e-20
ARHGDIB,1.55,1.99e-22,3.66e-20
S100A6,2.23,2.03e-22,3.7e-20
